x,y,title,artist,year,cluster,shelf_no,index,description,hover_text,color
-20.889418,35.517242,Herbarium - 1000 Manat - Aserbaidschan,Valenta Philipp,2023,4,2.0,0333,,<b>Herbarium - 1000 Manat - Aserbaidschan</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0333,"rgb(128,177,211)"
-19.623686,34.413727,Herbarium - 20 Korun (Tee) - Tschechoslowakei,Valenta Philipp,2023,4,2.0,0334,,<b>Herbarium - 20 Korun (Tee) - Tschechoslowakei</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0334,"rgb(128,177,211)"
-21.779892,37.78251,Herbarium - 100 Baht - Thailand,Valenta Philipp,2023,4,2.0,0335,,<b>Herbarium - 100 Baht - Thailand</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0335,"rgb(128,177,211)"
-21.139263,37.21027,Herbarium - 5 Dong - Vietnam,Valenta Philipp,2023,4,2.0,0340,,<b>Herbarium - 5 Dong - Vietnam</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0340,"rgb(128,177,211)"
-12.297655,16.396292,"Edingen-Neckarhausen, Friedrichsfelderstraße, Januar 2023",Lennart Pimpl,2023,2,3.0,0025,,"<b>Edingen-Neckarhausen, Friedrichsfelderstraße, Januar 2023</b><br>Artist: Lennart Pimpl<br>Year: 2023<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0025","rgb(190,186,218)"
-14.006651,23.876537,Fuchs & Enten,Maximilian Cyrill Esters,2024,2,3.0,0031,,<b>Fuchs & Enten</b><br>Artist: Maximilian Cyrill Esters<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0031,"rgb(190,186,218)"
9.262204,-21.503746,Zucht,Paula Rinderle,2023,2,3.0,0068,,<b>Zucht</b><br>Artist: Paula Rinderle<br>Year: 2023<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0068,"rgb(190,186,218)"
9.262186,-21.503927,Zucht,Paula Rinderle,2023,2,3.0,0069,,<b>Zucht</b><br>Artist: Paula Rinderle<br>Year: 2023<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0069,"rgb(190,186,218)"
7.415048,-6.911753,NO,Manuel Boden,2022,2,3.0,0088,,<b>NO</b><br>Artist: Manuel Boden<br>Year: 2022<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0088,"rgb(190,186,218)"
-4.0708904,5.229726,Air Repair,Manuel Boden,2021/2024,2,3.0,0078,"Bilder des Himmels. Eine Folge von acht Bildern, die ich aus meiner Sammlung von Werbepostkarten von Fluggesellschaften ausgewählt und retuschiert habe. Pictures of the sky. A sequence of eight images","<b>Air Repair</b><br>Artist: Manuel Boden<br>Year: 2021/2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0078<br><br>Bilder des Himmels. Eine Folge von acht Bildern, die ich aus meiner Sammlung von Werbepostkarten von Fluggesellschaften ausgewählt und retuschiert hab...","rgb(190,186,218)"
-4.289706,3.7588847,Sundown Minolta,Manuel Boden,2023,2,3.0,0082,"Für diese Kleinstauflage von Originalkopien nutzte ich das Minolta EP 4233 Kopiergerät. Die 1989 eingeführte Maschine bietet – neben anderen Besonderheiten - die einzigartige Möglichkeit, Bildsegmente",<b>Sundown Minolta</b><br>Artist: Manuel Boden<br>Year: 2023<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0082<br><br>Für diese Kleinstauflage von Originalkopien nutzte ich das Minolta EP 4233 Kopiergerät. Die 1989 eingeführte Maschine bietet – neben anderen Besonderh...,"rgb(190,186,218)"
3.5144396,-17.671207,Blitzstrahl 67,Manuel Boden,2024,2,3.0,0083,,<b>Blitzstrahl 67</b><br>Artist: Manuel Boden<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0083,"rgb(190,186,218)"
-5.7265577,-11.645595,Zentrierte Sonnenstrahlen schmelzen ein Loch in den Stahl,Manuel Boden,2024,2,3.0,0089,,<b>Zentrierte Sonnenstrahlen schmelzen ein Loch in den Stahl</b><br>Artist: Manuel Boden<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0089,"rgb(190,186,218)"
-0.6536183,-8.135029,ohne Titel,Tabea Borchardt,2029,2,3.0,0216,,<b>ohne Titel</b><br>Artist: Tabea Borchardt<br>Year: 2029<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0216,"rgb(190,186,218)"
7.8959227,-6.557955,o.T.,Manuel Boden,2020,2,3.0,0094,,<b>o.T.</b><br>Artist: Manuel Boden<br>Year: 2020<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0094,"rgb(190,186,218)"
19.679,-11.091276,Sing it Softly for the Song is Wild,Julian Westermann,2024,2,3.0,0098,,<b>Sing it Softly for the Song is Wild</b><br>Artist: Julian Westermann<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0098,"rgb(190,186,218)"
2.3952234,-18.721748,Stiefel,Julian Westermann,2023,2,3.0,0100,,<b>Stiefel</b><br>Artist: Julian Westermann<br>Year: 2023<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0100,"rgb(190,186,218)"
14.787732,-12.188633,replay buffer,Franziska Frings,2025,2,3.0,0446/25,,<b>replay buffer</b><br>Artist: Franziska Frings<br>Year: 2025<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0446/25,"rgb(190,186,218)"
15.235746,7.827108,eyes of women - small size prints,Jung Yun Jang,,2,3.0,0422,,<b>eyes of women - small size prints</b><br>Artist: Jung Yun Jang<br>Year: nan<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0422,"rgb(190,186,218)"
19.80521,-11.110873,Choir full of Longing,Julian Westermann,2024,2,3.0,0104,,<b>Choir full of Longing</b><br>Artist: Julian Westermann<br>Year: 2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0104,"rgb(190,186,218)"
